Country,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67029.0,58346.0,48812.0,51589.0,49253.0,48502.0,43822.0,51510.0,59136.0,58970.0,59777.0,61450.0,65583.0,66146.0,70830.0,72387.0,68510.0,60011.0,66942.0,68852.0,70209.0,69008.0,71461.0,70898.0,70453.0,71491.0,72042.0
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41759.0,32609.0,24081.0,22309.0,22332.0,25629.0,24445.0,27453.0,31767.0,33108.0,34050.0,36932.0,38738.0,38641.0,40891.0,42830.0,37279.0,29855.0,33432.0,35332.0,32975.0,32771.0,27170.0,22968.0,24218.0,21417.0,21100.0
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,573.0,364.0,367.0,444.0,379.0,351.0,344.0,407.0,433.0,450.0,499.0,602.0,595.0,617.0,645.0,682.0,716.0,716.0,733.0,736.0,746.0,723.0,643.0,654.0,654.0,646.0
CIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,117731.0,97809.0,77921.0,78804.0,76880.0,80558.0,73950.0,85657.0,98489.0,99699.0,101214.0,106470.0,113363.0,113239.0,119908.0,124169.0,114345.0,97691.0,108200.0,112663.0,110739.0,108408.0,106079.0,101552.0,102108.0,101195.0,100919.0
Canada,3237.0,3359.0,3734.0,2898.0,4114.0,4809.0,4598.0,3955.0,5354.0,5270.0,5886.0,6507.0,7436.0,8282.0,9132.0,9093.0,8797.0,10161.0,9350.0,11198.0,11200.0,11863.0,13388.0,13623.0,0.0,13290.0,13631.0,14899.0,16054.0,15901.0,14811.0,11871.0,12832.0,14699.0,14637.0,14081.0,14737.0,14865.0,15458.0,12281.0,12987.0,13933.0,14387.0,13897.0,14415.0,14735.0,15553.0,15930.0,16235.0,16595.0,15276.0,16002.0,15929.0,16305.0,15327.0,15493.0,15572.0,14945.0,9292.0,13009.0,12891.0,13507.0,12417.0,12730.0,12473.0,12646.0,13208.0,13443.0
Cuba,,,,,,,,,,,,,0.0,52.0,0.0,0.0,102.0,102.0,119.0,0.0,160.0,185.0,220.0,240.0,0.0,256.0,302.0,324.0,328.0,304.0,330.0,301.0,352.0,325.0,401.0,412.0,402.0,320.0,314.0,255.0,180.0,134.0,91.0,131.0,207.0,231.0,342.0,283.0,303.0,336.0,270.0,268.0,210.0,192.0,245.0,257.0,268.0,279.0,267.0,278.0,282.0,277.0,322.0,256.0,284.0,244.0,221.0,225.0
El Salvador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,9.0,13.0,11.0,12.0,16.0,16.0,28.0,37.0,24.0,28.0,41.0,45.0,43.0,34.0,41.0,39.0,49.0,57.0,59.0,48.0,72.0,73.0,71.0,56.0,64.0,97.0,72.0,118.0,121.0,124.0,100.0,96.0,99.0
Guatemala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,0.0,17.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,202.0,216.0,226.0,232.0,207.0,292.0,349.0,250.0,224.0,274.0,294.0,334.0,385.0,395.0,403.0,314.0,294.0,300.0
Mexico,453.0,601.0,462.0,454.0,,591.0,687.0,988.0,1213.0,11500.0,1725.0,1851.0,1974.0,2284.0,2394.0,2780.0,3059.0,3270.0,3470.0,3846.0,,4431.0,4760.0,3138.0,0.0,5298.0,,6775.0,7117.0,7156.0,7663.0,7056.0,6978.0,7560.0,7399.0,7225.0,7642.0,7779.0,7852.0,8734.0,7964.0,8459.0,9199.0,10260.0,12147.0,13196.0,14246.0,14218.0,15274.0,15631.0,13300.0,14010.0,15159.0,16737.0,16195.0,16447.0,17573.0,17209.0,14132.0,16870.0,18110.0,18073.0,18242.0,18930.0,18218.0,18824.0,19955.0,20204.0
Trinidad And Tobago,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.0,210.0,187.0,172.0,336.0,388.0,374.0,347.0,371.0,371.0,553.0,519.0,631.0,738.0,695.0,736.0,777.0,729.0,741.0,668.0,817.0,903.0,815.0,712.0,673.0,682.0,0.0,0.0,0.0,417.0,572.0,603.0,628.0,616.0,487.0,591.0,36.0
United States,95435.0,84520.0,101250.0,80115.0,106173.0,522.0,102253.0,77342.0,84773.0,90067.0,88917.0,89202.0,99120.0,115281.0,119260.0,121655.0,115406.0,119262.0,128152.0,119309.0,,120874.0,136802.0,1232195.0,132195.0,16120.0,13700.0,124313.0,123688.0,101456.0,109614.0,67656.0,76762.0,83941.0,80067.0,74032.0,80876.0,90649.0,88852.0,89726.0,79738.0,84322.0,88793.0,91244.0,95191.0,95535.0,98485.0,98658.0,97427.0,101803.0,90104.0,91587.0,93677.0,99681.0,94897.0,98188.0,98101.0,91895.0,59384.0,80495.0,86398.0,88695.0,86878.0,88174.0,78845.0,78475.0,81612.0,86607.0
Argentina,132.0,126.0,174.0,186.0,218.0,202.0,221.0,244.0,214.0,277.0,442.0,644.0,913.0,1267.0,1371.0,1286.0,1348.0,1579.0,1720.0,1859.0,,2151.0,2205.0,2353.0,,2410.0,2684.0,2782.0,3199.0,2687.0,2526.0,2913.0,2943.0,2647.0,2972.0,3272.0,3603.0,3652.0,3909.0,3636.0,2991.0,2700.0,2886.0,3289.0,3581.0,4075.0,4169.0,4216.0,3799.0,4474.0,4107.0,4356.0,5044.0,5133.0,5380.0,5533.0,5387.0,5541.0,4013.0,5138.0,5611.0,4995.0,5186.0,5488.0,5028.0,4126.0,4624.0,5162.0
Brazil,843.0,893.0,483.0,483.0,1162.0,1375.0,1299.0,1362.0,1608.0,2260.0,2443.0,2396.0,2737.0,2938.0,2983.0,3782.0,3734.0,4453.0,4925.0,5390.0,,6518.0,7150.0,7515.0,,9253.0,11253.0,12205.0,13893.0,15337.0,13226.0,12995.0,14671.0,18386.0,20455.0,21233.0,22228.0,24657.0,25055.0,20567.0,22617.0,23934.0,25207.0,25747.0,25076.0,25237.0,26153.0,25760.0,24996.0,27865.0,26717.0,29604.0,31147.0,32909.0,31610.0,30901.0,33782.0,33716.0,26506.0,32948.0,35220.0,34524.0,34163.0,33897.0,33258.0,31642.0,34778.0,35407.0
Chile,178.0,243.0,313.0,30.0,290.0,30.0,388.0,348.0,415.0,422.0,363.0,495.0,489.0,544.0,441.0,540.0,596.0,526.0,601.0,547.0,654.0,0.0,631.0,0.0,308.0,503.0,548.0,597.0,657.0,704.0,644.0,492.0,618.0,692.0,689.0,706.0,726.0,909.0,800.0,772.0,807.0,1013.0,1069.0,1040.0,1014.0,1178.0,1167.0,1171.0,1291.0,1352.0,1247.0,1279.0,1377.0,1579.0,1541.0,1607.0,1678.0,1549.0,1308.0,1011.0,1615.0,1671.0,1323.0,1079.0,1112.0,1153.0,1158.0,1145.0
Colombia,0.0,0.0,0.0,0.0,877.0,90.0,114.0,121.0,109.0,157.0,181.0,194.0,0.0,200.0,204.0,174.0,207.0,199.0,206.0,239.0,325.0,373.0,373.0,333.0,233.0,356.0,330.0,390.0,354.0,420.0,402.0,422.0,482.0,507.0,530.0,632.0,689.0,712.0,711.0,701.0,652.0,657.0,687.0,693.0,714.0,695.0,734.0,636.0,534.0,660.0,638.0,664.0,668.0,730.0,1007.0,1211.0,1245.0,1053.0,1052.0,1208.0,1287.0,1302.0,1236.0,1208.0,1211.0,1272.0,1253.0,1219.0
Ecuador,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,28.0,28.0,23.0,18.0,18.0,17.0,25.0,23.0,23.0,20.0,20.0,20.0,27.0,32.0,35.0,20.0,44.0,46.0,53.0,58.0,60.0,69.0,80.0,72.0,84.0,85.0,87.0,128.0,259.0,372.0,463.0,425.0,570.0,667.0,720.0,576.0,561.0,583.0
Paraguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,62.0,55.0,48.0,61.0,86.0,77.0,87.0,95.0,96.0,66.0,56.0,56.0,77.0,71.0,80.0,91.0,107.0,101.0,115.0,95.0,83.0,54.0,59.0,30.0,44.0,45.0,47.0,48.0,35.0,24.0,25.0
